Yes;YesNo;Boolean;true
No;YesNo;Boolean;false
Yeah;YesNo;Boolean;true
Nope;YesNo;Boolean;false
Definetly;YesNo;Boolean;true
Nah;YesNo;Boolean;false
Hm;YesNo;Boolean;true
Renna;Name;NameA;
James;Name;NameA;
Stubi;Name;NameA;
Jordan;Name;NameA;
Bride;Name;Title;
Groom;Name;Title;
You;Name;Relation;
Me;Name;Relation;
Family;Name;Relation;
Friend;Name;Relation;
Riley;Name;NameA;
Matheo;Name;NameA;
Father;Name;Relation;
Dad;Name;Relation;
Molly;Name;NameA;
Kim;Name;NameA;
Alex;Name;NameA;
Sam;Name;NameA;
Parker;Name;NameA;
Girl;Name;Title;
DJ;Name;NameA;
Dear;Name;Address;
Child;Name;Relation;
Sibling;Name;Relation;
Wife;Name;Relation;
Son;Name;Relation;
Katie;Name;NameA;
Kid;Name;Relation;
Bridgetown;Location;City;Nocturne
Greybell;Location;City;Nocturne
Nocturne;Location;Country;XXX
Buffet;Location;Local;Ashley River
Presents;Location;Local;Ashley River
Tables;Location;Local;Ashley River
Benches;Location;Local;Ashley River
Here;Location;Null;
Home;Location;Null;
Inside;Location;Null;
Bushes;Location;Local;Ashley River
Venue;Location;Local;Ashley River
Entrance;Location;Local;Ashley River
Workshop;Location;House;Greybell
Wine;Item;Mat;moderate
Food;Item;Mat;cheap
Present;Item;Mat;undefined
Goldfish;Item;Mat;cheap
Aquarium;Item;Mat;moderate
Dish;Item;Mat;cheap
Sushi;Item;Mat;cheap
Dough;Item;Mat;cheap
Pizza;Item;Mat;
Hat;Item;Mat;moderate
Car;Item;Mat;expensive
Job;Concept;Imm;
Email;Concept;Imm;
Wedding;Concept;Imm;
Relationship;Concept;Imm;
Opinion;Concept;Imm;
Questions;Concept;Imm;
Question;Concept;Imm;
Treasure;Concept;Imm;
Treasures;Concept;Imm;
Adventure;Concept;Imm;
Business;Concept;Imm;
Funeral;Concept;Imm;
Birthday;Concept;Imm;
Party;Concept;Imm;
Name;Concept;Imm;
Co-worker;Concept;Imm;
Catering;Concept;Imm;
Caterer;Concept;Imm;
Date;Concept;Imm;
Person;Concept;Imm;
God;Concept;Imm;
Engineer;Concept;Imm;
World;Concept;Imm;
Good;Adjective;Rating;positive
Nice;Adjective;Rating;positive
Beautiful;Adjective;Rating;positive
Great;Adjective;Rating;positive
Cool;Adjective;Rating;positive
Bad;Adjective;Rating;negative
Ugly;Adjective;Descriptor;negative
Boring;Adjective;Rating;negative
Okay;Adjective;Rating;neutral
Fine;Adjective;Rating;neutral
Mediocre;Adjective;Rating;neutral
Interesting;Adjective;Rating;positive
Wonderful;Adjective;Rating;positive
Otherworldly;Adjective;Rating;positive
Vegan;Adjective;Trait;neutral
Embarrassing;Adjective;Rating;negative
Cute;Adjective;Rating;positive
Amazing;Adjective;Rating;positive
Careful;Adjective;Descriptor;neutral
Small;Adjective;Descriptor;neutral
Favorite;Adjective;Descriptor;neutral
Unusual;Adjective;Descriptor;neutral
Brutal;Adjective;Descriptor;negative
Drunk;Adjective;Descriptor;neutral
Akward;Adjective;Descriptor;
Funny;Adjective;Descriptor;positive
Big;Adjective;Descriptor;neutral
Real;Adjective;Descriptor;neutral
New;Adjective;Descriptor;neutral
Hard;Adjective;Descriptor;negative
Glad;Adjective;Rating;positive
Secretive;Adjective;Descriptor;neutral
Weird;Adjective;Descriptor;negative
Super;Adjective;Descriptor;positive
Sucessful;Adjective;Descriptor;positive
Average;Adjective;Rating;neutral
Plates;Item;Present;moderate
Boat;Item;Present;expensive
Cutlery;Item;Present;moderate
Mark;Name;NameA;
Confusing;Adjective;Descriptor;
Magical;Adjective;Descriptor;
Polite;Adjective;Descriptor;
Politely;Adjective;Action;
Luxurious;Adjective;Descriptor;
Cold;Adjective;Descriptor;
Sober;Adjective;Descriptor;
Initmidating;Adjective;Descriptor;
Expensive;Adjective;Descriptor;
Stupid;Adjective;Descriptor;
Nosy;Adjective;Descriptor;
Eccentric;Adjective;Descriptor;
Lousy;Adjective;Rating;negative
Appropriate;Adjective;Rating;neutral
Vegetarian;Adjective;Trait;
Mother;Name;Relation;
Mom;Name;Relation;
Brother;Name;Relation;
